variety,subject,level,true_answer,predicted_answer,is_correct,raw_model_output,question,option_A,option_B,option_C,option_D,source_dataset
MSA,Driving Test,,B,B,True,B,يحظر ترك او القاء او وضع اى شي من شانة ان يعوق حركة المرور,خطأ,صحيح,,,MBZUAI/ArabicMMLU
MSA,Islamic Studies,Primary,D,D,True,D,كان عذاب الله تعالى للذين كفروا من قوم نوح : ,أرسل عليهم ريحاً صرصر ,أرسل عليهم طيراً أبابيل ,حرمهم من الماء والخيرات  ,أغرقهم بالطوفان ,MBZUAI/ArabicMMLU
MSA,Arabic Language,High,B,A,False,A,"""أنتن تعين الصواب""، ""أنت تعين الصواب""، وزن ""تعين"" في الجملتين بالترتيب ...:",تفعلن ـ تفعلين,تعلن ـ تعين,تفلن ـ تفين,تفعلن ـ تفين,MBZUAI/ArabicMMLU
MSA,Biology,High,D,D,True,D,فى الخاصية الأسموزية ينتقل الماء من,التركيز الأعلى للماء إلى التركيز الأقل للماء,التركيز الأقل للذائبات إلى التركيز الأعلى للذائبات,من منطقة ضغط إسموزى أقل إلى منطقة ضغط إسموزى أعلى,جميع الإجابات السابقة صحيحة,MBZUAI/ArabicMMLU
MSA,Geography,High,D,A,False,A,منطقة الالتقاء بين الاقتصاد البري  والاقتصاد البحري للدولة تتمثل في,المياة المحايدة,الحد البحري,المياة الملاصقة,خط الساحل,MBZUAI/ArabicMMLU
MSA,Driving Test,,A,B,False,B,نقل سرعة الرجوع للخلف أثناء سير السيارة للأمام يسبب تلف صندوق التروس اليدوي.,العبارة صحيحة,العبارة خاطئة,,,MBZUAI/ArabicMMLU
MSA,Arabic Language,High,C,C,True,C,"لا تكذبوني فيما أقول ... ما علامة إعراب الفعل "" تكذب "" ؟","ثبوت النون
","السكون
","حذف النون
",حذف حرف العلة,MBZUAI/ArabicMMLU
MSA,Islamic Studies,Primary,B,B,True,B, انزل الله التوراة علي سيدنا,عيسى,موسى,محمد,,MBZUAI/ArabicMMLU
MSA,Political Science,Univ,B,A,False,A,يعد الأيمان بأولوية الفرد هو الملمح المميز لأليديولوجية .,النسوية,الليبرالية,المحافظة,اإلشتراكية,MBZUAI/ArabicMMLU
MSA,Islamic Studies,Primary,C,C,True,C,كيف تكسب الأجر العظيم من نظافة بلدك ؟,لا يوجد علاقة بين الإسلام النظافة بالإيمان,لا يوجد أجر من نظافة,لقد ربط الإسلام النظافة بالإيمان,,MBZUAI/ArabicMMLU
MSA,History,High,B,B,True,B,ضم المجلس التعاون العربي في عضويته دول:,الأردن وفلسطين,الأردن والعراق واليمن الشمالي ومصر,الأردن والعراق,الاردن والسعودية,MBZUAI/ArabicMMLU
MSA,Arabic Language (Grammar),,A,A,True,A,"In the following Quranic verse, what is the correct parsing of the word
فَــ",حرف عطف مبني على الفتح,نعت مجرور وعلامة جره الكسرة المقدرة,مضاف إليه مجرور وعلامة جره الكسرة,فعل أمر مبني على السكون,MBZUAI/ArabicMMLU
